sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-8.4667;1.7214;8.1818;-64.18;-84.28;33.13;52018;2021-12-04 13:08:22:761
0.5818;3.9981;8.2596;49.33;18.49;68.74;52518;2021-12-04 13:08:23:261
8.5062;3.5433;3.8126;58.11;-38.77;71.87;53018;2021-12-04 13:08:23:761
10.8333;-39.7121;9.6817;-56.82;-109.84;-732.51;53518;2021-12-04 13:08:24:261
-11.9142;-0.4968;11.3229;1.59;-13.76;110.14;54018;2021-12-04 13:08:24:761
3.6307;4.9725;3.9826;61.36;-76.99;125.71;54517;2021-12-04 13:08:25:260
8.7121;3.9802;2.4731;63.33;20.6;77.1;55018;2021-12-04 13:08:25:761
0.875;0.0587;10.716;-29.24;-213.44;21.16;55518;2021-12-04 13:08:26:261
-3.8605;3.25;8.0238;36.37;13.68;71.73;56018;2021-12-04 13:08:26:761
0.1736;6.1756;7.2661;12.16;-11.15;69.86;56518;2021-12-04 13:08:27:261
13.5255;1.8363;0.2945;69.09;-67.51;124.66;57018;2021-12-04 13:08:27:761
-7.3056;-0.9768;12.9533;-40.98;235.93;49.89;57518;2021-12-04 13:08:28:261
-5.8823;2.0194;7.958;7.01;-30.58;85.45;58018;2021-12-04 13:08:28:761
0.2657;5.2993;6.8495;24.19;-33.73;65.68;58518;2021-12-04 13:08:29:261
12.0687;4.5177;1.3886;78.96;-31.51;65.44;59018;2021-12-04 13:08:29:761
-7.8227;-0.4824;12.3727;-27.6;82.12;102.2;59518;2021-12-04 13:08:30:261
0.6153;4.9354;8.9336;27.81;-37.53;80.62;60018;2021-12-04 13:08:30:761
4.2519;8.0095;4.0209;22.57;-4.62;5.62;60518;2021-12-04 13:08:31:261
1.5514;8.5433;2.8813;-10.99;11.51;-12.48;61019;2021-12-04 13:08:31:762
1.5167;8.0717;4.4877;1.17;-10.67;-2.59;61518;2021-12-04 13:08:32:261
1.0534;8.7397;4.1262;6.68;-0.59;-5.26;62018;2021-12-04 13:08:32:761
1.1659;8.6954;3.9012;-1.28;1.96;-2.81;62518;2021-12-04 13:08:33:261
1.1456;8.7373;3.9694;-0.76;1.17;2.34;63018;2021-12-04 13:08:33:761
1.0031;8.6834;3.9491;-0.58;0.14;-0.92;63518;2021-12-04 13:08:34:261
1.0498;8.6966;3.967;0.3;2.24;-0.17;64018;2021-12-04 13:08:34:761
